DATE,CWSR0000SA0
1947-01-01,21.600
1947-02-01,21.740
1947-03-01,22.120
1947-04-01,22.120
1947-05-01,22.080
1947-06-01,22.200
1947-07-01,22.360
1947-08-01,22.530
1947-09-01,22.970
1947-10-01,23.040
1947-11-01,23.190
1947-12-01,23.540
1948-01-01,23.810
1948-02-01,23.800
1948-03-01,23.640
1948-04-01,23.950
1948-05-01,24.140
1948-06-01,24.290
1948-07-01,24.540
1948-08-01,24.570
1948-09-01,24.490
1948-10-01,24.440
1948-11-01,24.300
1948-12-01,24.180
1949-01-01,24.150
1949-02-01,24.050
1949-03-01,24.040
1949-04-01,24.050
1949-05-01,24.040
1949-06-01,24.050
1949-07-01,23.840
1949-08-01,23.830
1949-09-01,23.880
1949-10-01,23.800
1949-11-01,23.830
1949-12-01,23.750
1950-01-01,23.640
1950-02-01,23.740
1950-03-01,23.770
1950-04-01,23.780
1950-05-01,23.910
1950-06-01,24.020
1950-07-01,24.210
1950-08-01,24.330
1950-09-01,24.480
1950-10-01,24.630
1950-11-01,24.740
1950-12-01,25.120
1951-01-01,25.520
1951-02-01,25.980
1951-03-01,26.030
1951-04-01,26.060
1951-05-01,26.140
1951-06-01,26.080
1951-07-01,26.060
1951-08-01,26.010
1951-09-01,26.180
1951-10-01,26.310
1951-11-01,26.470
1951-12-01,26.620
1952-01-01,26.600
1952-02-01,26.560
1952-03-01,26.540
1952-04-01,26.610
1952-05-01,26.620
1952-06-01,26.680
1952-07-01,26.830
1952-08-01,26.840
1952-09-01,26.780
1952-10-01,26.840
1952-11-01,26.840
1952-12-01,26.860
1953-01-01,26.790
1953-02-01,26.740
1953-03-01,26.780
1953-04-01,26.840
1953-05-01,26.850
1953-06-01,26.920
1953-07-01,26.940
1953-08-01,27.010
1953-09-01,27.040
1953-10-01,27.110
1953-11-01,27.010
1953-12-01,27.030
1954-01-01,27.090
1954-02-01,27.140
1954-03-01,27.080
1954-04-01,27.010
1954-05-01,27.090
1954-06-01,27.090
1954-07-01,27.010
1954-08-01,27.010
1954-09-01,26.960
1954-10-01,26.870
1954-11-01,26.930
1954-12-01,26.920
1955-01-01,26.920
1955-02-01,26.970
1955-03-01,26.940
1955-04-01,26.940
1955-05-01,26.920
1955-06-01,26.860
1955-07-01,26.910
1955-08-01,26.870
1955-09-01,27.000
1955-10-01,26.970
1955-11-01,27.030
1955-12-01,27.020
1956-01-01,26.980
