,Unnamed: 0,season,opening_date,name,theatre,type,all_nominations,all_Wins,tony_best_musical_nom,tony_best_musical_winner,tony_best_revival_musical_nom,tony_best_revival_musical_winner,tony_best_play_nom,tony_best_play_winner,tony_best_revival_play_nom,tony_best_revival_play_winner,performances,previews,play,musical,revival,year
0,0,1985,1985-05-08,Doubles,Ritz Theatre,Original,0,0,0,0,0,0,0,0,0,0,277,10,1,0,0,1985
1,1,1985,1985-05-30,Arms and the Man,Circle in the Square Theatre,Revival,0,0,0,0,0,0,0,0,0,0,109,23,1,0,1,1985
2,2,1985,1985-06-02,The 39th Annual Tony Awards - 1985,Sam S. Shubert Theatre,Original,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1985
3,3,1985,1985-06-11,The Odd Couple,Broadhurst Theatre,Comedy Revival,0,0,0,0,0,0,0,0,0,0,295,9,1,0,1,1985
4,4,1985,1985-07-02,Singin' in the Rain,Gershwin Theatre,Original,8,1,0,0,0,0,0,0,0,0,367,38,1,0,0,1985
5,5,1985,1985-09-18,Song and Dance,Royale Theatre,Musical Original,11,2,1,0,0,0,0,0,0,0,474,17,0,1,0,1985
6,6,1985,1985-09-26,The Search for Signs of Intelligent Life in the Universe,Plymouth Theatre,Original,6,6,0,0,0,0,0,0,0,0,391,14,1,0,0,1985
7,7,1985,1985-09-29,The Iceman Cometh,Lunt-Fontanne Theatre,Revival,7,0,0,0,0,0,0,0,0,0,55,7,1,0,1,1985
8,8,1985,1985-10-09,Tango Argentino,Mark Hellinger Theatre,Revue Original,4,0,1,0,0,0,0,0,0,0,199,1,0,1,0,1985
9,9,1985,1985-10-10,The Marriage of Figaro,Circle in the Square Theatre,Original,2,0,0,0,0,0,0,0,0,0,77,22,1,0,0,1985
10,10,1985,1985-10-23,Mayor,Latin Quarter,Original,4,1,0,0,0,0,0,0,0,0,70,0,1,0,0,1985
11,11,1985,1985-11-07,The News,Helen Hayes Theatre,Original,1,0,0,0,0,0,0,0,0,0,4,22,1,0,0,1985
12,12,1985,1985-11-19,I'm Not Rappaport,Booth Theatre,Original,6,6,0,0,0,0,1,1,0,0,891,0,1,0,0,1985
13,13,1985,1985-12-01,The Boys of Winter,Biltmore Theatre,Original,1,0,0,0,0,0,0,0,0,0,9,31,1,0,0,1985
14,14,1985,1985-12-02,The Mystery of Edwin Drood,Imperial Theatre,Musical Original,31,19,1,1,0,0,0,0,0,0,608,24,0,1,0,1985
15,15,1985,1985-12-10,Blood Knot,John Golden Theatre,Original,1,0,0,0,0,0,1,0,0,0,95,13,1,0,0,1985
16,16,1985,1985-12-12,Hay Fever,Music Box Theatre,Revival,2,0,0,0,0,0,0,0,0,0,124,16,1,0,1,1985
17,17,1985,1985-12-18,Jerry's Girls,St. James Theatre,Original,1,0,0,0,0,0,0,0,0,0,141,14,1,0,0,1985
18,18,1985,1985-12-19,Wind in the Willows,Nederlander Theatre,Original,2,0,0,0,0,0,0,0,0,0,4,25,1,0,0,1985
19,19,1985,1985-12-20,The Robert Klein Show!,Circle in the Square Theatre,Original,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,1985
