,Name,Type,Nominations,Wins,Awards,Performances
0,Doubles,Original,0,0,[],277
1,Arms and the Man,Revival,0,0,[],109
2,The 39th Annual Tony Awards - 1985,Original,0,0,[],1
3,The Odd Couple,Comedy+Revival,0,0,[],295
4,Singin' in the Rain,Original,8,1,"['Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Winner + Outstanding Special Effects', 'Tony Award + Nominee + Best Book of a Musical', 'Tony Award + Nominee + Best Actor in a Musical']",367
5,Song and Dance,Musical+Original,11,2,"['Drama Desk Award + Winner + Outstanding Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Music', 'Tony Award + Nominee + Musical', 'Tony Award + Winner + Best Actress in a Musical', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Nominee + Costume Design (Play or Musical)', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Nominee + Lighting Design (Play or Musical)']",474
6,The Search for Signs of Intelligent Life in the Universe,Original,6,6,"['Drama Desk Award + Winner + Outstanding Actress in a Play', 'Drama Desk Award + Winner + Outstanding Music in a Play', 'Drama Desk Award + Winner + Unique Theatrical Experience', ""New York Drama Critics' Circle + Winner + Special Citation"", 'Outer Critics Circle + Winner + Outstanding Actress in a Play', 'Tony Award + Winner + Best Actress in a Play']",391
7,The Iceman Cometh,Revival,7,0,"['Drama Desk Award + Nominee + Outstanding Revival', 'Drama Desk Award + Nominee + Outstanding Costume Design', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Play', 'Tony Award + Nominee + Scenic Design (Play or Musical)', 'Tony Award + Nominee + Revival (Play or Musical)', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Nominee + Best Direction of a Play']",55
8,Tango Argentino,Revue+Original,4,0,"['Drama Desk Award + Nominee + Unique Theatrical Experience', 'Tony Award + Nominee + Musical', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Nominee + Best Choreography']",199
9,The Marriage of Figaro,Original,2,0,"['Tony Award + Nominee + Scenic Design (Play or Musical)', 'Tony Award + Nominee + Costume Design (Play or Musical)']",77
10,Mayor,Original,4,1,"['Drama Desk Award + Nominee + Outstanding Music', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Book of a Musical', 'Theatre World Awards + Winner + Theatre World Award']",70
11,The News,Original,1,0,['Tony Award + Nominee + Best Original Score'],4
