,Name,Type,Nominations,Wins,Awards,Performances
0,Zoya's Apartment,Original,0,0,[],45
1,The Cemetery Club,Original,0,0,[],56
2,The 44th Annual Tony Awards - 1990,Original,0,0,[],1
3,Michael Feinstein in Concert: Piano and Voice,Original,0,0,[],30
4,Bugs Bunny on Broadway,Original,0,0,[],23
5,Stand-Up Tragedy,Original,2,1,"['Drama Desk Award + Nominee + Outstanding Featured Actor in a Play', 'Theatre World Awards + Winner + Theatre World Award']",13
6,The Miser,Play+Revival,1,0,['Tony Award + Nominee + Revival (Play or Musical)'],93
7,Jackie Mason: Brand New,Original,0,0,[],216
8,Once On This Island,Musical+Original,12,1,"['Drama Desk Award + Nominee + Outstanding Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Nominee + Outstanding Actress in a Musical', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Musical', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Nominee + Costume Design (Play or Musical)', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Nominee + Best Book of a Musical']",469
9,"Oh, Kay!",Revival,4,1,"['Drama Desk Award + Nominee + Outstanding Choreography', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Choreography']",77
10,Buddy,Original,5,1,"['Drama Desk Award + Nominee + Outstanding Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Nominee + Outstanding Actor in a Musical', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Best Actor in a Musical']",225
11,Bobby McFerrin's Voicestra on Broadway,Original,0,0,[],8
12,Those Were the Days,Original,4,1,"['Drama Desk Award + Nominee + Outstanding Musical Revue', 'Drama Desk Award + Winner + Outstanding Featured Actor in a Musical', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical']",126
13,Six Degrees of Separation,Original,11,3,"['Drama Desk Award + Nominee + Outstanding New Play', 'Drama Desk Award + Winner + Outstanding Director of a Play', 'Drama Desk Award + Nominee + Outstanding Actress in a Play', ""New York Drama Critics' Circle + Winner + Best Play"", 'Outer Critics Circle + Nominee + Outstanding Director', 'Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Tony Award + Nominee + Play', 'Tony Award + Winner + Best Direction of a Play', 'Tony Award + Nominee + Best Actress in a Play', 'Tony Award + Nominee + Best Actor in a Play']",485
14,Shadowlands,Play+Original,4,2,"['Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Outer Critics Circle + Winner + Outstanding Actor in a Play', 'Tony Award + Nominee + Play', 'Tony Award + Winner + Best Actor in a Play']",169
15,Fiddler on the Roof,Musical+Revival,3,2,"['Outer Critics Circle + Winner + Outstanding Revival', 'Tony Award + Nominee + Best Actor in a Musical', 'Tony Award + Winner + Revival (Play or Musical)']",241
16,"Shogun, the Musical",Original,5,2,"['Drama Desk Award + Winner + Outstanding Costume Design', 'Drama Desk Award + Nominee + Outstanding Actress in a Musical', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Costume Design (Play or Musical)', 'Tony Award + Nominee + Best Actress in a Musical']",72
17,An Evening with Harry Connick Jr. and His Orchestra,Original,0,0,[],13
18,Peter Pan,Revival,2,0,"['Tony Award + Nominee + Revival (Play or Musical)', 'Tony Award + Nominee + Best Actress in a Musical']",45
19,Monster in a Box,Original,1,0,['Drama Desk Award + Nominee + Outstanding Solo Performance'],16
20,La Bête,Original,13,1,"['Drama Desk Award + Nominee + Outstanding New Play', 'Drama Desk Award + Nominee + Outstanding Set Design', 'Drama Desk Award + Nominee + Outstanding Costume Design', 'Drama Desk Award + Nominee + Outstanding Director of a Play', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Play', 'Drama Desk Award + Nominee + Outstanding Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Director', 'Outer Critics Circle + Winner + Outstanding Debut Performance', 'Tony Award + Nominee + Scenic Design (Play or Musical)', 'Tony Award + Nominee + Best Featured Actor in a Play', 'Tony Award + Nominee + Best Direction of a Play', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Nominee + Best Actor in a Play']",25
21,Mule Bone,Original,1,1,['Theatre World Awards + Winner + Theatre World Award'],68
22,Taking Steps,Original,0,0,[],78
23,Lost in Yonkers,Original,14,12,"['Drama Desk Award + Winner + Outstanding New Play', 'Drama Desk Award + Nominee + Outstanding Costume Design', 'Drama Desk Award + Winner + Outstanding Featured Actress in a Play', 'Drama Desk Award + Winner + Outstanding Featured Actor in a Play', 'Drama Desk Award + Winner + Outstanding Actress in a Play', 'Outer Critics Circle + Winner + Outstanding Director', 'Outer Critics Circle + Winner + Outstanding New Broadway Play', 'Outer Critics Circle + Winner + Outstanding Actress in a Play', 'Pulitzer Prize + Winner + Pulitzer Prize for Drama', 'Tony Award + Winner + Play', 'Tony Award + Winner + Best Featured Actress in a Play', 'Tony Award + Winner + Best Featured Actor in a Play', 'Tony Award + Nominee + Best Direction of a Play', 'Tony Award + Winner + Best Actress in a Play']",780
24,The Speed of Darkness,Original,5,0,"['Outer Critics Circle + Nominee + Outstanding New Broadway Play', 'Outer Critics Circle + Nominee + Outstanding Actor in a Play', 'Outer Critics Circle + Nominee + Outstanding Actor in a Play', 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Nominee + Best Featured Actor in a Play']",36
25,The Big Love,Original,2,1,"['Drama Desk Award + Nominee + Outstanding Solo Performance', 'Theatre World Awards + Winner + Theatre World Award']",41
26,Penn & Teller: The Refrigerator Tour,Original,0,0,[],103
27,Lucifer's Child,Original,2,0,"['Outer Critics Circle + Nominee + Outstanding Actress in a Play', 'Tony Award + Nominee + Best Actress in a Play']",28
28,I Hate Hamlet,Original,6,3,"['Drama Desk Award + Nominee + Outstanding Featured Actress in a Play', 'Outer Critics Circle + Winner + Outstanding Debut Performance', 'Outer Critics Circle + Nominee + Outstanding Actor in a Play', 'Theatre World Awards + Winner + Theatre World Award', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Nominee + Best Featured Actor in a Play']",88
29,Miss Saigon,Musical+Original,20,11,"['Drama Desk Award + Winner + Outstanding Actor in a Musical', 'Drama Desk Award + Winner + Outstanding Actress in a Musical', 'Drama Desk Award + Winner + Outstanding Orchestrations', 'Drama Desk Award + Winner + Outstanding Lighting Design', 'Outer Critics Circle + Winner + Outstanding Actor in a Musical', 'Outer Critics Circle + Winner + Outstanding Actress in a Musical', 'Outer Critics Circle + Winner + Outstanding New Broadway Musical', 'Outer Critics Circle + Nominee + Outstanding Director', 'Theatre World Awards + Winner + Theatre World Award', 'Tony Award + Winner + Best Actor in a Musical', 'Tony Award + Winner + Best Actress in a Musical', 'Tony Award + Nominee + Best Book of a Musical', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Nominee + Best Direction of a Musical', 'Tony Award + Winner + Best Featured Actor in a Musical', 'Tony Award + Nominee + Lighting Design (Play or Musical)', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Nominee + Scenic Design (Play or Musical)', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Musical']",4092
30,The Secret Garden,Musical+Original,28,9,"['Drama Desk Award + Nominee + Outstanding Director of a Musical', 'Drama Desk Award + Nominee + Outstanding Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Winner + Outstanding Book of a Musical', 'Drama Desk Award + Winner + Outstanding Orchestrations', 'Drama Desk Award + Nominee + Outstanding Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Lighting Design', 'Drama Desk Award + Nominee + Outstanding Music', 'Drama Desk Award + Winner + Outstanding Set Design', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama Desk Award + Nominee + Outstanding Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Drama Desk Award + Nominee + Outstanding Lyrics', ""New York Drama Critics' Circle + Nominee + Best Musical"", 'Outer Critics Circle + Nominee + Outstanding Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding Actress in a Musical', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Winner + Outstanding Costume Design', 'Outer Critics Circle + Winner + Outstanding Lighting Design', 'Outer Critics Circle + Winner + Outstanding Set Design', 'Tony Award + Winner + Best Book of a Musical', 'Tony Award + Nominee + Costume Design (Play or Musical)', 'Tony Award + Winner + Best Featured Actress in a Musical', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Nominee + Best Original Score', 'Tony Award + Winner + Scenic Design (Play or Musical)', 'Tony Award + Nominee + Musical']",709
31,Our Country's Good,Original,8,1,"['Drama Desk Award + Nominee + Outstanding Featured Actress in a Play', ""New York Drama Critics' Circle + Winner + Best Foreign Play"", 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Nominee + Play', 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Nominee + Best Direction of a Play', 'Tony Award + Nominee + Best Actress in a Play', 'Tony Award + Nominee + Best Actor in a Play']",48
32,The Will Rogers Follies,Original,20,10,"['Drama Desk Award + Winner + Outstanding Musical', 'Drama Desk Award + Nominee + Outstanding Actor in a Musical', 'Drama Desk Award + Winner + Outstanding Choreography', 'Drama Desk Award + Winner + Outstanding Music', 'Drama Desk Award + Nominee + Outstanding Orchestrations', ""New York Drama Critics' Circle + Winner + Best Musical"", 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Nominee + Outstanding Choreography', 'Outer Critics Circle + Nominee + Outstanding Actor in a Musical', 'Tony Award + Winner + Costume Design (Play or Musical)', 'Tony Award + Winner + Best Choreography', 'Tony Award + Nominee + Best Actor in a Musical', 'Tony Award + Nominee + Best Actress in a Musical', 'Tony Award + Nominee + Best Book of a Musical', 'Tony Award + Winner + Best Original Score', 'Tony Award + Winner + Best Direction of a Musical', 'Tony Award + Nominee + Best Featured Actress in a Musical', 'Tony Award + Winner + Lighting Design (Play or Musical)', 'Tony Award + Nominee + Scenic Design (Play or Musical)', 'Tony Award + Winner + Musical']",981
33,The 45th Annual Tony Awards - 1991,Original,0,0,[],1
34,The Odd Couple,Comedy+Revival,0,0,[],1
35,Getting Married,Revival,0,0,[],70
36,On Borrowed Time,Revival,1,0,['Tony Award + Nominee + Revival (Play or Musical)'],101
37,André Heller's Wonderhouse,Original,0,0,[],9
38,Dancing at Lughnasa,Original,20,9,"['Drama Desk Award + Nominee + Outstanding Lighting Design', 'Drama Desk Award + Winner + Outstanding Director of a Play', 'Drama Desk Award + Nominee + Outstanding Set Design', 'Drama Desk Award + Winner + Outstanding Ensemble Performance', 'Drama Desk Award + Nominee + Outstanding New Play', ""New York Drama Critics' Circle + Winner + Best Play"", 'Outer Critics Circle + Winner + Outstanding New Broadway Play', 'Outer Critics Circle + Nominee + Outstanding Set Design', 'Outer Critics Circle + Nominee + Outstanding Costume Design', 'Outer Critics Circle + Nominee + Outstanding Lighting Design', 'Outer Critics Circle + Winner + Outstanding Director', 'Theatre World Awards + Winner + Theatre World Special Award', 'Tony Award + Nominee + Costume Design (Play or Musical)', 'Tony Award + Winner + Best Direction of a Play', 'Tony Award + Winner + Best Featured Actress in a Play', 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Nominee + Best Featured Actress in a Play', 'Tony Award + Nominee + Scenic Design (Play or Musical)', 'Tony Award + Nominee + Best Choreography', 'Tony Award + Winner + Play']",421
39,The Homecoming,Drama+Revival,1,1,['Theatre World Awards + Winner + Theatre World Award'],49
40,Moscow Circus - Cirk Valentin,Original,0,0,[],32
41,Park Your Car in Harvard Yard,Original,1,0,['Tony Award + Nominee + Best Actress in a Play'],124
42,Peter Pan,Revival,1,0,['Outer Critics Circle + Nominee + Outstanding Revival'],48
43,Catskills on Broadway,Original,1,1,['Outer Critics Circle + Winner + Outstanding Comedy'],453
44,Nick & Nora,Original,2,1,"['Outer Critics Circle + Winner + Outstanding Actress in a Musical', 'Tony Award + Nominee + Best Original Score']",9
45,The Crucible,Play+Revival,1,0,['Outer Critics Circle + Nominee + Outstanding Revival of a Play'],31
