,Name,Type,Nominations,Wins,Awards,Performances
0,Cirque du Soleil Paramour,Musical+Original,0,0,[],366
1,An Act of God,Comedy+Revival,0,0,[],98
2,The 70th Annual Tony Awards - 2016,Revival,0,0,[],1
3,Motown The Musical,Musical+Revival,0,0,[],24
4,Cats,Musical+Revival,8,0,"['Chita Rivera Awards + Nominee + Outstanding Ensemble in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Male Dancer in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Male Dancer in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Female Dancer in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Female Dancer in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Female Dancer in a Broadway Show', 'Drama Desk Award + Nominee + Outstanding Sound Design of a Musical', 'Drama League + Nominee + Outstanding Revival of a Musical']",593
5,Lewis Black: Black to the Future,Special+Original,0,0,[],6
6,The Encounter,Play+One Act+Original,5,3,"['Drama Desk Award + Winner + Outstanding Sound Design of a Play', 'Drama League + Nominee + Distinguished Performance', 'Outer Critics Circle + Nominee + Outstanding Sound Design', 'Outer Critics Circle + Winner + Outstanding Solo Performance', 'Tony Award + Winner + Special Tony Award']",117
7,"Holiday Inn, The New Irving Berlin Musical",Original,10,2,"['Chita Rivera Awards + Nominee + Outstanding Choreography in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Ensemble in a Broadway Show', 'Chita Rivera Awards + Winner + Outstanding Male Dancer in a Broadway Show', 'Chita Rivera Awards + Nominee + Outstanding Female Dancer in a Broadway Show', 'Chita Rivera Awards + Winner + Outstanding Female Dancer in a Broadway Show', 'Drama Desk Award + Nominee + Outstanding Choreography', 'Outer Critics Circle + Nominee + Outstanding New Broadway Musical', 'Outer Critics Circle + Nominee + Outstanding Choreographer', 'Outer Critics Circle + Nominee + Outstanding Orchestrations', 'Tony Award + Nominee + Best Choreography']",117
8,"Oh, Hello on Broadway",Play+Original,0,0,[],120
9,Heisenberg,Original,1,0,['Tony Award + Nominee + Best Actor in a Play'],67
10,The Cherry Orchard,Revival,0,0,[],57
11,The Front Page,Play+Revival,10,0,"['Drama Desk Award + Nominee + Outstanding Revival of a Play', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Play', 'Drama Desk Award + Nominee + Outstanding Set Design for a Play', 'Drama Desk Award + Nominee + Outstanding Costume Design of a Play', 'Outer Critics Circle + Nominee + Outstanding Revival of a Play', 'Outer Critics Circle + Nominee + Outstanding Director of a Play', 'Outer Critics Circle + Nominee + Outstanding Set Design', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Play', 'Tony Award + Nominee + Best Featured Actor in a Play', 'Tony Award + Nominee + Best Scenic Design of a Play']",117
12,Frankie Valli and the Four Seasons On Broadway,Revival,0,0,[],7
13,Falsettos,Musical+Revival,13,0,"['Drama Desk Award + Nominee + Outstanding Revival of a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actor in a Musical', 'Drama Desk Award + Nominee + Outstanding Featured Actress in a Musical', 'Drama League + Nominee + Outstanding Revival of a Musical', 'Drama League + Nominee + Distinguished Performance', 'Outer Critics Circle + Nominee + Outstanding Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding Featured Actor in a Musical', 'Outer Critics Circle + Nominee + Outstanding Featured Actress in a Musical', 'Tony Award + Nominee + Best Revival of a Musical', 'Tony Award + Nominee + Best Actor in a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Featured Actor in a Musical', 'Tony Award + Nominee + Best Featured Actress in a Musical']",84
14,Les Liaisons Dangereuses,Revival,0,0,[],81
15,Kristin Chenoweth: My Love Letter to Broadway,Concert+Original,0,0,[],12
